10
100 1050
0 3 14
0 18 3
0 26 8
0 29 20
0 38 2
0 40 18
0 42 2
0 45 18
0 46 4
0 49 16
0 57 4
0 59 18
0 60 2
0 64 4
0 65 4
0 67 20
0 73 10
0 89 6
0 91 2
0 94 6
0 97 10
1 2 16
1 7 -4
1 8 14
1 10 4
1 19 6
1 24 16
1 28 12
1 29 12
1 31 14
1 33 14
1 34 16
1 40 4
1 41 12
1 61 4
1 66 20
1 68 4
1 72 20
1 76 12
1 78 14
1 88 8
2 3 -2
2 9 16
2 10 -18
2 15 -8
2 22 6
2 33 18
2 37 12
2 43 18
2 44 6
2 45 20
2 54 2
2 56 4
2 60 12
2 62 16
2 66 20
2 74 4
2 75 8
2 96 4
2 97 8
3 6 16
3 21 2
3 23 14
3 27 12
3 32 8
3 36 14
3 39 10
3 40 12
3 45 6
3 51 8
3 54 16
3 61 12
3 62 4
3 64 10
3 66 4
3 68 -20
3 72 16
3 77 20
3 84 8
3 86 12
3 91 6
3 94 -6
4 6 10
4 17 18
4 34 14
4 39 6
4 49 12
4 57 18
4 58 10
4 60 16
4 61 -16
4 66 14
4 72 16
4 73 -10
4 81 2
4 86 4
4 91 2
5 10 14
5 11 10
5 29 12
5 32 -6
5 43 20
5 46 18
5 49 12
5 54 20
5 56 12
5 73 6
5 74 18
5 76 18
5 81 -6
5 87 16
5 90 10
6 9 4
6 16 8
6 22 4
6 25 18
6 26 10
6 29 20
6 38 10
6 51 8
6 59 20
6 65 8
6 70 16
6 72 4
6 85 20
6 86 12
6 94 16
6 96 2
7 9 20
7 22 6
7 28 12
7 35 4
7 38 2
7 45 4
7 46 10
7 50 10
7 51 12
7 52 12
7 69 16
7 73 18
7 74 2
7 78 12
7 79 20
7 80 -18
7 81 12
7 85 8
7 93 16
7 97 16
7 99 16
8 9 16
8 12 10
8 15 20
8 23 18
8 24 4
8 29 6
8 30 8
8 33 4
8 35 18
8 43 18
8 44 4
8 47 4
8 49 2
8 52 10
8 59 18
8 60 16
8 68 12
8 70 20
8 77 18
8 83 8
8 84 6
8 85 20
8 90 10
8 98 10
9 10 2
9 14 16
9 25 8
9 30 4
9 31 8
9 32 2
9 37 6
9 38 18
9 40 18
9 51 8
9 59 10
9 60 4
9 63 10
9 65 6
9 69 2
9 70 16
9 78 4
9 79 12
9 81 6
9 86 12
9 93 12
9 97 10
10 15 16
10 18 14
10 20 4
10 21 8
10 23 14
10 24 4
10 33 6
10 37 10
10 39 4
10 44 8
10 49 10
10 50 4
10 54 12
10 55 -14
10 59 4
10 76 12
10 78 6
10 84 12
10 85 12
10 91 18
10 99 16
11 27 6
11 29 -10
11 36 20
11 39 4
11 44 14
11 45 10
11 49 14
11 50 2
11 66 8
11 69 14
11 71 20
11 79 14
11 85 -2
11 89 10
11 92 14
11 98 2
12 14 4
12 15 16
12 16 16
12 21 20
12 36 18
12 38 10
12 53 2
12 57 -10
12 60 18
12 63 8
12 78 4
12 80 12
12 81 14
12 84 2
12 87 14
12 88 8
12 98 10
13 17 14
13 18 8
13 21 8
13 22 14
13 23 12
13 26 16
13 29 6
13 32 12
13 39 4
13 47 6
13 53 6
13 54 20
13 56 20
13 57 8
13 59 18
13 72 12
13 75 -16
13 76 20
13 80 6
13 81 14
13 83 12
13 88 18
13 91 8
13 93 20
13 97 14
14 23 8
14 27 -4
14 33 6
14 38 20
14 43 20
14 49 14
14 51 8
14 53 20
14 61 14
14 63 16
14 64 4
14 85 4
