10
100 9900
0 1 627
0 2 966
0 3 1066
0 4 611
0 5 1043
0 6 774
0 7 1262
0 8 541
0 9 1223
0 10 776
0 11 1148
0 12 1226
0 13 1450
0 14 1294
0 15 1005
0 16 1598
0 17 1266
0 18 1636
0 19 1761
0 20 1273
0 21 1870
0 22 1428
0 23 1378
0 24 1851
0 25 1860
0 26 1593
0 27 2162
0 28 2146
0 29 1655
0 30 1942
0 31 2196
0 32 1865
0 33 2599
0 34 2479
0 35 2714
0 36 2235
0 37 2281
0 38 2104
0 39 2803
0 40 2865
0 41 2337
0 42 2741
0 43 2575
0 44 3169
0 45 3133
0 46 3242
0 47 2613
0 48 3040
0 49 3220
0 50 2588
0 51 2796
0 52 3320
0 53 3390
0 54 2863
0 55 3673
0 56 2853
0 57 3270
0 58 3082
0 59 3882
0 60 3476
0 61 3309
0 62 3872
0 63 3240
0 64 3310
0 65 3449
0 66 3480
0 67 4002
0 68 3612
0 69 4302
0 70 3575
0 71 4151
0 72 3619
0 73 4363
0 74 4676
0 75 3980
0 76 4674
0 77 4104
0 78 4093
0 79 4136
0 80 4257
0 81 4591
0 82 4344
0 83 4771
0 84 4780
0 85 4353
0 86 4324
0 87 4678
0 88 4984
0 89 4506
0 90 4729
0 91 4567
0 92 5502
0 93 5336
0 94 5549
0 95 5451
0 96 5102
0 97 5567
0 98 5753
0 99 5698
1 0 767
1 2 601
1 3 587
1 4 373
1 5 498
1 6 636
1 7 533
1 8 1235
1 9 781
1 10 1436
1 11 590
1 12 1069
1 13 954
1 14 1315
1 15 1144
1 16 782
1 17 1485
1 18 1294
1 19 1090
1 20 1439
1 21 1685
1 22 1834
1 23 1790
1 24 2034
1 25 2198
1 26 1462
1 27 1981
1 28 1925
1 29 1913
1 30 2275
1 31 1530
1 32 2529
1 33 1631
1 34 2290
1 35 1837
1 36 2572
1 37 1991
1 38 2652
1 39 1945
1 40 2100
1 41 2708
1 42 2512
1 43 2311
1 44 2877
1 45 3162
1 46 2328
